# DUMMY PLACEHOLDER - 12-Month Forecasts with Confidence Intervals for Power BI
date,commodity,model,forecast_price_pkr,lower_bound_pkr,upper_bound_pkr
2026-09-01,Tomatoes,Prophet,140.25,120.00,165.50
2026-09-01,Tomatoes,XGBoost,138.50,118.00,162.00
2026-09-01,Onion,Prophet,125.10,110.00,142.00
2026-09-01,Potato,Prophet,98.40,88.00,110.00
2026-09-01,Daal Moong,Prophet,315.00,295.00,335.00
2026-09-01,Daal Masar,Prophet,285.50,265.00,305.00
2026-09-01,Daal Masoor,Prophet,300.00,280.00,320.00
2026-09-01,Daal Mash,Prophet,530.00,490.00,570.00
2027-08-01,Tomatoes,Prophet,155.00,125.00,185.00
2027-08-01,Onion,Prophet,130.00,112.00,150.00
2027-08-01,Potato,Prophet,105.00,92.00,118.00
2027-08-01,Daal Moong,Prophet,330.00,305.00,355.00
2027-08-01,Daal Masar,Prophet,300.00,275.00,325.00
2027-08-01,Daal Masoor,Prophet,315.00,290.00,340.00
2027-08-01,Daal Mash,Prophet,560.00,515.00,605.00
