# DUMMY PLACEHOLDER - Historical prices formatted for Power BI
date,commodity,actual_price_pkr,unit
2021-07-01,Tomatoes,45.50,PKR/Kg
2021-07-01,Onion,38.20,PKR/Kg
2021-07-01,Potato,52.00,PKR/Kg
2021-07-01,Daal Moong,220.00,PKR/Kg
2021-07-01,Daal Masar,160.00,PKR/Kg
2021-07-01,Daal Masoor,175.00,PKR/Kg
2021-07-01,Daal Mash,250.00,PKR/Kg
2026-08-01,Tomatoes,135.00,PKR/Kg
2026-08-01,Onion,120.00,PKR/Kg
2026-08-01,Potato,95.00,PKR/Kg
2026-08-01,Daal Moong,310.00,PKR/Kg
2026-08-01,Daal Masar,280.00,PKR/Kg
2026-08-01,Daal Masoor,295.00,PKR/Kg
2026-08-01,Daal Mash,520.00,PKR/Kg
