Date,Year_Month,Commodity,Unit,City,Price_PKR
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,National Average,279.9
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Islamabad,299.81
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Rawalpindi,292.67
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Gujranwala,261.97
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Sialkot,251.97
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Lahore,259.0
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Faisalabad,283.76
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Sargodha,306.63
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Multan,272.15
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Bahawalpur,277.18
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Karachi,295.15
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Hyderabad,286.54
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Sukkur,271.82
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Larkana,275.83
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Peshawar,271.66
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Bannu,250.65
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Quetta,314.97
2023-03-01,2023-03,Pulse Masoor (Washed),1 Kg,Khuzdar,296.63
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,National Average,282.91
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Islamabad,298.06
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Rawalpindi,273.81
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Gujranwala,267.82
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Sialkot,253.88
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Lahore,263.7
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Faisalabad,252.96
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Sargodha,296.63
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Multan,279.96
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Bahawalpur,273.17
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Karachi,298.72
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Hyderabad,284.87
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Sukkur,315.96
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Larkana,283.89
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Peshawar,269.32
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Bannu,258.52
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Quetta,340.94
2023-03-01,2023-03,Pulse Moong (Washed),1 Kg,Khuzdar,313.19
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,National Average,419.23
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Islamabad,455.66
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Rawalpindi,446.63
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Gujranwala,429.28
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Sialkot,429.0
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Lahore,422.35
2023-03-01,2023-03,Pulse Mash (Washed),1 Kg,Faisalabad,419.87
