Commodity,Model,MAPE_%,RMSE,MAE
Tomatoes,Prophet,48.37,115.72,69.28
Tomatoes,XGBoost,19.55,59.52,32.32
Onions,Prophet,57.66,46.54,45.13
Onions,XGBoost,29.42,27.26,24.35
Potatoes,Prophet,30.98,16.8,13.25
Potatoes,XGBoost,127.9,48.24,47.99
Pulse Moong (Washed),Prophet,6.46,29.87,24.97
Pulse Moong (Washed),XGBoost,2.2,12.02,8.29
Pulse Gram,Prophet,9.63,32.02,23.85
Pulse Gram,XGBoost,10.0,34.73,24.66
Pulse Masoor (Washed),Prophet,9.14,26.91,23.84
Pulse Masoor (Washed),XGBoost,6.69,17.75,17.39
Pulse Mash (Washed),Prophet,21.14,104.58,97.45
Pulse Mash (Washed),XGBoost,6.22,29.83,28.86
