Date,Commodity,Price,Price_Type,Model,Lower_Bound,Upper_Bound
2023-03-01,Pulse Masoor (Washed),279.9,Actual,Historical,,
2023-03-01,Pulse Moong (Washed),282.91,Actual,Historical,,
2023-03-01,Pulse Mash (Washed),419.23,Actual,Historical,,
2023-03-01,Pulse Gram,255.62,Actual,Historical,,
2023-03-01,Potatoes,52.48,Actual,Historical,,
2023-03-01,Onions,134.16,Actual,Historical,,
2023-03-01,Tomatoes,64.76,Actual,Historical,,
2023-04-01,Pulse Masoor (Washed),279.43,Actual,Historical,,
2023-04-01,Pulse Moong (Washed),280.94,Actual,Historical,,
2023-04-01,Pulse Mash (Washed),428.08,Actual,Historical,,
2023-04-01,Pulse Gram,247.06,Actual,Historical,,
2023-04-01,Potatoes,67.93,Actual,Historical,,
2023-04-01,Onions,82.94,Actual,Historical,,
2023-04-01,Tomatoes,55.84,Actual,Historical,,
2023-05-01,Pulse Masoor (Washed),284.68,Actual,Historical,,
2023-05-01,Pulse Moong (Washed),282.93,Actual,Historical,,
2023-05-01,Pulse Mash (Washed),443.43,Actual,Historical,,
2023-05-01,Pulse Gram,250.32,Actual,Historical,,
2023-05-01,Potatoes,79.51,Actual,Historical,,
2023-05-01,Onions,56.33,Actual,Historical,,
2023-05-01,Tomatoes,42.26,Actual,Historical,,
2023-06-01,Pulse Masoor (Washed),277.38,Actual,Historical,,
2023-06-01,Pulse Moong (Washed),269.75,Actual,Historical,,
2023-06-01,Pulse Mash (Washed),453.95,Actual,Historical,,
2023-06-01,Pulse Gram,243.96,Actual,Historical,,
2023-06-01,Potatoes,84.52,Actual,Historical,,
2023-06-01,Onions,60.67,Actual,Historical,,
2023-06-01,Tomatoes,51.94,Actual,Historical,,
2023-07-01,Pulse Masoor (Washed),274.8,Actual,Historical,,
2023-07-01,Pulse Moong (Washed),263.26,Actual,Historical,,
2023-07-01,Pulse Mash (Washed),468.25,Actual,Historical,,
2023-07-01,Pulse Gram,240.48,Actual,Historical,,
2023-07-01,Potatoes,91.91,Actual,Historical,,
2023-07-01,Onions,58.97,Actual,Historical,,
2023-07-01,Tomatoes,90.53,Actual,Historical,,
2023-08-01,Pulse Masoor (Washed),285.75,Actual,Historical,,
2023-08-01,Pulse Moong (Washed),269.94,Actual,Historical,,
2023-08-01,Pulse Mash (Washed),499.57,Actual,Historical,,
2023-08-01,Pulse Gram,242.6,Actual,Historical,,
2023-08-01,Potatoes,95.08,Actual,Historical,,
2023-08-01,Onions,65.96,Actual,Historical,,
2023-08-01,Tomatoes,115.42,Actual,Historical,,
2023-09-01,Pulse Masoor (Washed),337.54,Actual,Historical,,
2023-09-01,Pulse Moong (Washed),287.61,Actual,Historical,,
2023-09-01,Pulse Mash (Washed),538.59,Actual,Historical,,
2023-09-01,Pulse Gram,250.1,Actual,Historical,,
2023-09-01,Potatoes,95.35,Actual,Historical,,
2023-09-01,Onions,84.39,Actual,Historical,,
2023-09-01,Tomatoes,102.11,Actual,Historical,,
2023-10-01,Pulse Masoor (Washed),323.01,Actual,Historical,,
2023-10-01,Pulse Moong (Washed),279.57,Actual,Historical,,
2023-10-01,Pulse Mash (Washed),529.88,Actual,Historical,,
2023-10-01,Pulse Gram,234.86,Actual,Historical,,
2023-10-01,Potatoes,98.13,Actual,Historical,,
2023-10-01,Onions,106.1,Actual,Historical,,
2023-10-01,Tomatoes,112.8,Actual,Historical,,
2023-11-01,Pulse Masoor (Washed),320.98,Actual,Historical,,
2023-11-01,Pulse Moong (Washed),276.47,Actual,Historical,,
2023-11-01,Pulse Mash (Washed),520.96,Actual,Historical,,
2023-11-01,Pulse Gram,229.43,Actual,Historical,,
2023-11-01,Potatoes,106.92,Actual,Historical,,
2023-11-01,Onions,127.42,Actual,Historical,,
2023-11-01,Tomatoes,161.49,Actual,Historical,,
2023-12-01,Pulse Masoor (Washed),335.16,Actual,Historical,,
2023-12-01,Pulse Moong (Washed),286.56,Actual,Historical,,
2023-12-01,Pulse Mash (Washed),529.54,Actual,Historical,,
2023-12-01,Pulse Gram,239.56,Actual,Historical,,
2023-12-01,Potatoes,83.25,Actual,Historical,,
2023-12-01,Onions,167.38,Actual,Historical,,
2023-12-01,Tomatoes,111.21,Actual,Historical,,
2024-01-01,Pulse Masoor (Washed),339.5,Actual,Historical,,
2024-01-01,Pulse Moong (Washed),302.54,Actual,Historical,,
2024-01-01,Pulse Mash (Washed),539.94,Actual,Historical,,
2024-01-01,Pulse Gram,257.78,Actual,Historical,,
2024-01-01,Potatoes,59.24,Actual,Historical,,
2024-01-01,Onions,214.14,Actual,Historical,,
2024-01-01,Tomatoes,138.21,Actual,Historical,,
2024-02-01,Pulse Masoor (Washed),333.59,Actual,Historical,,
2024-02-01,Pulse Moong (Washed),311.92,Actual,Historical,,
2024-02-01,Pulse Mash (Washed),540.03,Actual,Historical,,
2024-02-01,Pulse Gram,259.56,Actual,Historical,,
2024-02-01,Potatoes,68.35,Actual,Historical,,
2024-02-01,Onions,221.59,Actual,Historical,,
2024-02-01,Tomatoes,122.11,Actual,Historical,,
2024-03-01,Pulse Masoor (Washed),333.59,Actual,Historical,,
2024-03-01,Pulse Moong (Washed),311.92,Actual,Historical,,
2024-03-01,Pulse Mash (Washed),540.03,Actual,Historical,,
2024-03-01,Pulse Gram,259.56,Actual,Historical,,
2024-03-01,Potatoes,68.35,Actual,Historical,,
2024-03-01,Onions,221.59,Actual,Historical,,
2024-03-01,Tomatoes,122.11,Actual,Historical,,
2024-04-01,Pulse Masoor (Washed),329.69,Actual,Historical,,
2024-04-01,Pulse Moong (Washed),311.71,Actual,Historical,,
2024-04-01,Pulse Mash (Washed),541.09,Actual,Historical,,
2024-04-01,Pulse Gram,257.76,Actual,Historical,,
2024-04-01,Potatoes,72.2,Actual,Historical,,
2024-04-01,Onions,192.31,Actual,Historical,,
2024-04-01,Tomatoes,103.9,Actual,Historical,,
2024-05-01,Pulse Masoor (Washed),320.94,Actual,Historical,,
2024-05-01,Pulse Moong (Washed),308.75,Actual,Historical,,
2024-05-01,Pulse Mash (Washed),548.27,Actual,Historical,,
2024-05-01,Pulse Gram,260.01,Actual,Historical,,
2024-05-01,Potatoes,87.85,Actual,Historical,,
2024-05-01,Onions,113.91,Actual,Historical,,
2024-05-01,Tomatoes,67.68,Actual,Historical,,
2024-06-01,Pulse Masoor (Washed),314.68,Actual,Historical,,
2024-06-01,Pulse Moong (Washed),313.54,Actual,Historical,,
2024-06-01,Pulse Mash (Washed),564.73,Actual,Historical,,
2024-06-01,Pulse Gram,293.21,Actual,Historical,,
2024-06-01,Potatoes,95.4,Actual,Historical,,
2024-06-01,Onions,129.98,Actual,Historical,,
2024-06-01,Tomatoes,108.42,Actual,Historical,,
2024-07-01,Pulse Masoor (Washed),325.02,Actual,Historical,,
