Commodity,Model,Date,Forecast_Price,Lower_Bound,Upper_Bound
Tomatoes,Prophet,2026-08-01,49.05,49.05,67.4
Tomatoes,Prophet,2026-09-01,236.91,207.42,266.89
Tomatoes,Prophet,2026-10-01,367.47,334.85,400.21
Tomatoes,Prophet,2026-11-01,105.78,74.65,137.31
Tomatoes,Prophet,2026-12-01,49.05,49.05,49.05
Tomatoes,Prophet,2027-01-01,106.45,76.75,138.1
Tomatoes,Prophet,2027-02-01,228.97,198.41,261.07
Tomatoes,Prophet,2027-03-01,57.35,49.05,89.24
Tomatoes,Prophet,2027-04-01,70.92,49.05,99.29
Tomatoes,Prophet,2027-05-01,55.0,49.05,85.42
Tomatoes,Prophet,2027-06-01,73.4,49.05,106.04
Tomatoes,Prophet,2027-07-01,270.99,241.06,300.1
Tomatoes,XGBoost,2026-08-01,181.1,162.99,199.21
Tomatoes,XGBoost,2026-09-01,106.49,95.84,117.14
Tomatoes,XGBoost,2026-10-01,99.52,89.57,109.47
Tomatoes,XGBoost,2026-11-01,82.24,74.01,90.46
Tomatoes,XGBoost,2026-12-01,97.88,88.09,107.67
Tomatoes,XGBoost,2027-01-01,92.64,83.38,101.91
Tomatoes,XGBoost,2027-02-01,70.65,63.58,77.71
Tomatoes,XGBoost,2027-03-01,111.64,100.48,122.81
Tomatoes,XGBoost,2027-04-01,259.95,233.96,285.95
Tomatoes,XGBoost,2027-05-01,171.85,154.66,189.03
Tomatoes,XGBoost,2027-06-01,94.8,85.32,104.28
Tomatoes,XGBoost,2027-07-01,79.9,71.91,87.89
Onions,Prophet,2026-08-01,50.42,45.51,60.05
Onions,Prophet,2026-09-01,63.42,53.1,73.54
Onions,Prophet,2026-10-01,119.78,108.6,130.69
Onions,Prophet,2026-11-01,199.82,187.25,212.86
Onions,Prophet,2026-12-01,116.82,104.89,129.4
Onions,Prophet,2027-01-01,82.33,69.79,94.33
Onions,Prophet,2027-02-01,106.25,91.9,120.07
Onions,Prophet,2027-03-01,78.34,64.66,91.69
Onions,Prophet,2027-04-01,83.2,68.77,97.74
Onions,Prophet,2027-05-01,95.21,78.79,112.29
Onions,Prophet,2027-06-01,109.74,88.93,131.5
Onions,Prophet,2027-07-01,128.78,103.28,154.86
Onions,XGBoost,2026-08-01,100.99,90.89,111.09
Onions,XGBoost,2026-09-01,86.13,77.52,94.75
Onions,XGBoost,2026-10-01,104.4,93.96,114.84
Onions,XGBoost,2026-11-01,111.48,100.33,122.63
Onions,XGBoost,2026-12-01,118.57,106.72,130.43
Onions,XGBoost,2027-01-01,107.21,96.49,117.93
Onions,XGBoost,2027-02-01,93.83,84.45,103.22
Onions,XGBoost,2027-03-01,93.57,84.22,102.93
Onions,XGBoost,2027-04-01,93.7,84.33,103.07
Onions,XGBoost,2027-05-01,95.32,85.79,104.86
Onions,XGBoost,2027-06-01,92.79,83.51,102.07
Onions,XGBoost,2027-07-01,98.3,88.47,108.13
Potatoes,Prophet,2026-08-01,33.26,31.12,39.01
Potatoes,Prophet,2026-09-01,35.85,31.12,41.44
Potatoes,Prophet,2026-10-01,36.67,31.12,42.5
Potatoes,Prophet,2026-11-01,33.56,31.12,39.31
Potatoes,Prophet,2026-12-01,31.12,31.12,31.12
Potatoes,Prophet,2027-01-01,31.12,31.12,31.12
Potatoes,Prophet,2027-02-01,31.12,31.12,31.12
Potatoes,Prophet,2027-03-01,31.12,31.12,31.12
Potatoes,Prophet,2027-04-01,31.12,31.12,31.12
Potatoes,Prophet,2027-05-01,31.12,31.12,31.12
Potatoes,Prophet,2027-06-01,31.12,31.12,31.12
Potatoes,Prophet,2027-07-01,31.12,31.12,31.12
Potatoes,XGBoost,2026-08-01,55.34,49.81,60.87
Potatoes,XGBoost,2026-09-01,54.95,49.45,60.44
Potatoes,XGBoost,2026-10-01,57.46,51.71,63.2
Potatoes,XGBoost,2026-11-01,57.79,52.01,63.57
Potatoes,XGBoost,2026-12-01,57.43,51.69,63.18
Potatoes,XGBoost,2027-01-01,41.13,37.01,45.24
Potatoes,XGBoost,2027-02-01,32.77,29.49,36.04
Potatoes,XGBoost,2027-03-01,32.64,29.38,35.9
Potatoes,XGBoost,2027-04-01,35.67,32.11,39.24
Potatoes,XGBoost,2027-05-01,41.46,37.31,45.6
Potatoes,XGBoost,2027-06-01,45.52,40.97,50.08
Potatoes,XGBoost,2027-07-01,55.13,49.62,60.65
Pulse Moong (Washed),Prophet,2026-08-01,362.18,356.8,367.77
Pulse Moong (Washed),Prophet,2026-09-01,393.32,387.56,398.85
Pulse Moong (Washed),Prophet,2026-10-01,380.85,374.73,387.04
Pulse Moong (Washed),Prophet,2026-11-01,359.0,352.37,365.77
Pulse Moong (Washed),Prophet,2026-12-01,378.21,371.1,385.66
Pulse Moong (Washed),Prophet,2027-01-01,382.01,374.42,390.43
Pulse Moong (Washed),Prophet,2027-02-01,392.19,383.16,402.1
Pulse Moong (Washed),Prophet,2027-03-01,371.94,360.68,383.19
Pulse Moong (Washed),Prophet,2027-04-01,379.06,367.26,392.0
Pulse Moong (Washed),Prophet,2027-05-01,387.24,372.36,401.75
Pulse Moong (Washed),Prophet,2027-06-01,372.78,356.35,388.95
Pulse Moong (Washed),Prophet,2027-07-01,351.85,332.76,370.9
Pulse Moong (Washed),XGBoost,2026-08-01,383.64,345.27,422.0
Pulse Moong (Washed),XGBoost,2026-09-01,382.6,344.34,420.86
Pulse Moong (Washed),XGBoost,2026-10-01,383.46,345.11,421.8
Pulse Moong (Washed),XGBoost,2026-11-01,378.71,340.84,416.58
Pulse Moong (Washed),XGBoost,2026-12-01,379.52,341.57,417.48
Pulse Moong (Washed),XGBoost,2027-01-01,388.38,349.54,427.21
Pulse Moong (Washed),XGBoost,2027-02-01,390.8,351.72,429.88
