ds,y,commodity,unit,month,quarter,month_sin,month_cos,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,price_diff_1,mom_pct_change_1
2024-03-01,122.11,Tomatoes,1 Kg,3,1,1.0,6.123233995736766e-17,122.11,138.21,111.21,102.11,64.76,123.84333333333335,13.583200408347597,124.65500000000002,21.80191895223905,-16.10000000000001,-11.648940018811958
2024-04-01,103.9,Tomatoes,1 Kg,4,2,0.8660254037844387,-0.4999999999999998,122.11,122.11,138.21,112.8,55.84,127.47666666666669,9.295339333953024,127.98833333333334,19.01658057240226,0.0,0.0
2024-05-01,67.68,Tomatoes,1 Kg,5,2,0.49999999999999994,-0.8660254037844387,103.9,122.11,122.11,161.49,42.26,116.04,10.513548401943105,126.50500000000001,20.709960646993036,-18.209999999999994,-14.91278355581033
2024-06-01,108.42,Tomatoes,1 Kg,6,2,1.2246467991473532e-16,-1.0,67.68,103.9,122.11,111.21,51.94,97.89666666666666,27.70715130310825,110.87,24.142176372481405,-36.22,-34.8604427333975
2024-07-01,165.1,Tomatoes,1 Kg,7,3,-0.4999999999999997,-0.8660254037844388,108.42,67.68,103.9,138.21,90.53,93.33333333333333,22.33109342001267,110.40500000000002,24.161179400021005,40.739999999999995,60.1950354609929
2024-08-01,132.16,Tomatoes,1 Kg,8,3,-0.8660254037844385,-0.5000000000000004,165.1,108.42,67.68,122.11,115.42,113.73333333333335,48.926861061520526,114.88666666666666,31.675624487398284,56.67999999999999,52.27817745803357
2024-09-01,117.82,Tomatoes,1 Kg,9,3,-1.0,-1.8369701987210297e-16,132.16,165.1,108.42,122.11,102.11,135.22666666666666,28.46416928935982,116.56166666666667,32.39161522163823,-32.94,-19.951544518473654
2024-10-01,138.29,Tomatoes,1 Kg,10,4,-0.8660254037844386,0.5000000000000001,117.82,132.16,165.1,103.9,112.8,138.35999999999999,24.24210386909522,115.84666666666665,32.29184334575321,-14.340000000000003,-10.850484261501213
2024-11-01,165.65,Tomatoes,1 Kg,11,4,-0.5000000000000004,0.8660254037844384,138.29,117.82,132.16,67.68,161.49,129.42333333333332,10.505819022491039,121.57833333333333,32.795377977188586,20.47,17.373960278390765
2024-12-01,178.45,Tomatoes,1 Kg,12,4,-2.4492935982947064e-16,1.0,165.65,138.29,117.82,108.42,111.21,140.58666666666667,23.997567237812575,137.90666666666667,23.728795727273372,27.360000000000014,19.784510810615387
2025-01-01,119.02,Tomatoes,1 Kg,1,1,0.49999999999999994,0.8660254037844387,178.45,165.65,138.29,165.1,138.21,160.79666666666668,20.51517812092637,149.57833333333332,23.546593313400294,12.799999999999983,7.727135526712939
2025-02-01,58.21,Tomatoes,1 Kg,2,1,0.8660254037844386,0.5000000000000001,119.02,178.45,165.65,132.16,122.11,154.37333333333333,31.278645004752622,141.8983333333333,24.94476090618363,-59.42999999999999,-33.303446343513585
2025-03-01,73.04,Tomatoes,1 Kg,3,1,1.0,6.123233995736766e-17,58.21,119.02,178.45,117.82,122.11,118.56000000000002,60.121319845791845,129.57333333333332,42.68178471744904,-60.809999999999995,-51.092253402789446
2025-04-01,64.93,Tomatoes,1 Kg,4,2,0.8660254037844387,-0.4999999999999998,73.04,58.21,119.02,138.29,103.9,83.42333333333335,31.706848366454537,122.11000000000001,48.64636183724328,14.830000000000005,25.476722212678244
2025-05-01,49.05,Tomatoes,1 Kg,5,2,0.49999999999999994,-0.8660254037844387,64.93,73.04,58.21,165.65,67.68,65.39333333333336,7.425848997477817,109.88333333333334,52.807488736605016,-8.11,-11.103504928806132
2025-06-01,80.0,Tomatoes,1 Kg,6,2,1.2246467991473532e-16,-1.0,49.05,64.93,73.04,178.45,108.42,62.34000000000001,12.20291358651733,90.44999999999999,49.533828844538135,-15.88000000000001,-24.457107654397056
2025-07-01,85.63,Tomatoes,1 Kg,7,3,-0.4999999999999997,-0.8660254037844388,80.0,49.05,64.93,119.02,165.1,64.66000000000001,15.476766458146514,74.04166666666667,24.56747070145124,30.950000000000003,63.09887869520898
2025-08-01,112.16,Tomatoes,1 Kg,8,3,-0.8660254037844385,-0.5000000000000004,85.63,80.0,49.05,58.21,132.16,71.56,19.69642861028386,68.47666666666667,13.734822411180456,5.6299999999999955,7.037499999999993
2025-09-01,198.04,Tomatoes,1 Kg,9,3,-1.0,-1.8369701987210297e-16,112.16,85.63,80.0,73.04,117.82,92.59666666666668,17.174610136283754,77.46833333333333,21.26478536610857,26.53,30.982132430223057
