Year_Month,Date,S_No,Commodity_Raw,Commodity,Target_Commodity,Category,Unit,National_Average_Price,Source_File,Islamabad,Rawalpindi,Gujranwala,Sialkot,Lahore,Faisalabad,Sargodha,Multan,Bahawalpur,Karachi,Hyderabad,Sukkur,Larkana,Peshawar,Bannu,Quetta,Khuzdar
2023-03,2023-03-01,1,Wheat Flour Bag 20 Kg,Wheat Flour Bag,,Cereals & Grains,20 Kg,2064.43,2023-03_Annexure1.pdf,1772.83,1758.99,1925.38,1633.74,1634.02,1633.74,1633.74,1999.39,1732.22,2842.15,2457.85,2367.36,2467.15,2259.05,2095.65,2783.35,2820.74
2023-03,2023-03-01,2,Rice Basmati Broken (Average Quality)1 Kg,Rice Basmati Broken (Average Quality),,Cereals & Grains,1 Kg,184.51,2023-03_Annexure1.pdf,200.6,202.35,170.0,155.92,200.57,204.37,176.6,178.8,163.93,216.76,194.46,191.36,179.31,189.25,157.7,214.87,157.22
2023-03,2023-03-01,3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,Rice IRRI-6/9 (Sindh/Punjab),,Cereals & Grains,1 Kg,75.58,2023-03_Annexure1.pdf,131.36,118.27,81.87,133.91,163.86,147.72,166.6,139.61,171.53,100.0,135.91,146.59,160.0,128.84,136.58,135.21,127.55
2023-03,2023-03-01,4,Bread plain (Small Size) Each,Bread plain (Small Size),,Bakery & Confectionery,Each,101.11,2023-03_Annexure1.pdf,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,110.0,110.0,100.0,96.55,103.23,100.0,100.0,100.0
2023-03,2023-03-01,5,Beef with Bone (Average Quality) 1 Kg,Beef with Bone (Average Quality),,Meat & Poultry,1 Kg,710.4,2023-03_Annexure1.pdf,831.12,800.79,700.0,688.29,744.15,766.31,668.87,728.47,632.89,817.54,678.72,700.0,779.61,604.03,600.0,689.95,700.0
2023-03,2023-03-01,6,Mutton (Average Quality) 1 Kg,Mutton (Average Quality),,Meat & Poultry,1 Kg,1489.14,2023-03_Annexure1.pdf,1708.34,1662.47,1600.0,1558.29,1770.77,1532.62,1332.76,1634.77,1396.61,1637.36,1540.88,1400.0,1306.63,1321.92,1119.31,1568.97,1389.85
2023-03,2023-03-01,7,Chicken Farm Broiler (Live) 1 Kg,Chicken Farm Broiler (Live),,Meat & Poultry,1 Kg,395.45,2023-03_Annexure1.pdf,391.37,379.65,370.7,379.98,365.27,385.19,359.51,383.52,355.45,428.83,418.89,405.22,389.86,381.79,385.1,445.02,527.72
2023-03,2023-03-01,8,Milk fresh (Un-boiled) 1 Ltr,Milk fresh (Un-boiled),,Dairy & Eggs,1 Ltr,159.55,2023-03_Annexure1.pdf,190.28,186.39,151.95,120.0,141.06,150.0,126.58,141.73,120.0,207.78,162.58,160.0,200.0,187.39,149.78,191.27,164.59
2023-03,2023-03-01,9,Curd (Dahi) Loose 1 Kg,Curd (Dahi) Loose,,Dairy & Eggs,1 Kg,185.21,2023-03_Annexure1.pdf,204.6,204.41,171.95,140.0,165.94,170.0,160.0,161.73,146.59,299.26,239.27,170.0,215.85,198.53,160.0,208.94,189.07
2023-03,2023-03-01,10,Powdered Milk NIDO 390 gm PolybagEach,Powdered Milk NIDO 390 gm Polybag,,Dairy & Eggs,Each,681.7,2023-03_Annexure1.pdf,689.93,680.0,680.0,680.0,680.0,680.0,647.93,680.0,680.0,676.82,697.3,680.0,680.0,719.1,680.0,680.0,680.0
2023-03,2023-03-01,11,Eggs Hen (Farm) 1 Dozen,Eggs Hen (Farm),,Dairy & Eggs,1 Dozen,245.1,2023-03_Annexure1.pdf,250.54,245.16,242.26,243.87,237.98,250.9,237.79,228.56,233.8,251.85,233.21,247.72,237.61,245.48,255.23,258.84,269.3
2023-03,2023-03-01,12,Mustard Oil (Average Quality) 1 Kg,Mustard Oil (Average Quality),,Oils & Fats,1 Kg,589.72,2023-03_Annexure1.pdf,697.21,674.55,600.0,560.0,586.1,640.0,583.96,607.21,553.31,626.09,532.85,458.86,555.78,656.2,554.56,577.75,606.59
2023-03,2023-03-01,13,"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre TinEach","Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",,Oils & Fats,Each,3313.57,2023-03_Annexure1.pdf,3329.64,3329.64,3290.16,3169.44,3349.64,3441.85,3510.0,3399.4,3359.98,3366.63,3373.03,3090.15,3175.0,3388.51,3116.58,3274.1,3400.0
2023-03,2023-03-01,14,Vegetable Ghee DALDA/HABIB 2.5 kg TinEach,Vegetable Ghee DALDA/HABIB 2.5 kg Tin,,Oils & Fats,Each,1549.22,2023-03_Annexure1.pdf,1569.81,1569.81,1547.5,1442.65,1579.81,1589.87,1620.91,1590.08,1587.3,1584.79,1579.81,1573.35,1457.74,1565.73,1384.95,1543.53,1570.0
2023-03,2023-03-01,15,Vegetable Ghee DALDA/HABIB or Other superior Quality 1 kg PouchEach,Vegetable Ghee DALDA/HABIB or Other superior Quality 1 kg Pouch,,Oils & Fats,Each,614.95,2023-03_Annexure1.pdf,615.64,612.92,618.38,612.92,623.6,629.26,618.38,625.18,620.95,614.41,620.12,614.67,586.82,632.05,570.0,616.92,625.0
2023-03,2023-03-01,16,Bananas (Kela) Local 1 Dozen,Bananas (Kela) Local,,Fruits,1 Dozen,200.92,2023-03_Annexure1.pdf,339.31,315.49,170.51,193.6,206.56,189.73,168.84,291.93,252.32,173.9,156.28,168.29,133.28,207.42,253.79,174.19,147.22
2023-03,2023-03-01,17,Pulse Masoor (Washed) 1 Kg,Pulse Masoor (Washed),Pulse Masoor (Washed),Pulses & Legumes,1 Kg,279.9,2023-03_Annexure1.pdf,299.81,292.67,261.97,251.97,259.0,283.76,306.63,272.15,277.18,295.15,286.54,271.82,275.83,271.66,250.65,314.97,296.63
2023-03,2023-03-01,18,Pulse Moong (Washed) 1 Kg,Pulse Moong (Washed),Pulse Moong (Washed),Pulses & Legumes,1 Kg,282.91,2023-03_Annexure1.pdf,298.06,273.81,267.82,253.88,263.7,252.96,296.63,279.96,273.17,298.72,284.87,315.96,283.89,269.32,258.52,340.94,313.19
2023-03,2023-03-01,19,Pulse Mash (Washed) 1 Kg,Pulse Mash (Washed),Pulse Mash (Washed),Pulses & Legumes,1 Kg,419.23,2023-03_Annexure1.pdf,455.66,446.63,429.28,429.0,422.35,419.87,433.31,442.51,424.59,439.6,433.92,420.0,372.36,435.96,425.79,454.98,280.0
2023-03,2023-03-01,20,Pulse Gram 1 Kg,Pulse Gram,Pulse Gram,Pulses & Legumes,1 Kg,255.62,2023-03_Annexure1.pdf,281.98,261.87,223.95,223.95,246.76,243.95,240.0,263.48,258.43,277.89,251.33,260.0,243.9,264.42,236.62,307.9,273.29
2023-03,2023-03-01,21,Potatoes 1 Kg,Potatoes,Potatoes,Vegetables,1 Kg,52.48,2023-03_Annexure1.pdf,74.82,63.77,52.06,49.32,57.05,49.43,50.2,51.23,55.78,48.43,44.21,43.73,42.74,65.31,51.44,50.24,51.86
2023-03,2023-03-01,22,Onions 1 Kg,Onions,Onions,Vegetables,1 Kg,134.16,2023-03_Annexure1.pdf,180.53,163.56,134.29,137.41,139.46,124.54,121.66,131.36,134.02,122.59,117.02,102.87,116.94,151.58,138.18,143.5,140.57
2023-03,2023-03-01,23,Tomatoes 1 Kg,Tomatoes,Tomatoes,Vegetables,1 Kg,64.76,2023-03_Annexure1.pdf,99.42,86.33,84.21,74.17,76.13,74.47,67.6,65.91,74.16,45.54,38.0,52.1,48.05,76.77,60.23,55.7,55.29
2023-03,2023-03-01,24,Sugar Refined 1 Kg,Sugar Refined,,Sugar & Sweeteners,1 Kg,104.21,2023-03_Annexure1.pdf,106.56,106.8,104.53,106.92,104.92,103.48,102.78,101.72,104.48,106.97,102.25,102.11,99.94,106.33,101.92,106.33,103.94
2023-03,2023-03-01,25,Gur (Average Quality) 1 Kg,Gur (Average Quality),,Sugar & Sweeteners,1 Kg,145.55,2023-03_Annexure1.pdf,159.8,159.19,137.19,160.0,146.13,143.92,140.5,128.93,133.25,162.12,160.81,141.94,124.45,140.0,129.74,169.8,146.59
2023-03,2023-03-01,26,Salt Powdered (NATIONAL/SHAN) 800 gm PacketEach,Salt Powdered (NATIONAL/SHAN) 800 gm Packet,,Condiments & Spices,Each,51.05,2023-03_Annexure1.pdf,57.15,57.15,50.0,60.0,50.0,53.78,56.46,60.0,50.0,48.6,50.0,40.0,40.0,50.0,50.0,50.0,50.0
2023-03,2023-03-01,27,Chilies Powder NATIONAL 200 gm PacketEach,Chilies Powder NATIONAL 200 gm Packet,,Condiments & Spices,Each,218.04,2023-03_Annexure1.pdf,215.0,215.0,215.0,229.67,215.0,215.0,215.0,229.67,215.0,229.67,215.0,215.0,215.0,223.88,215.0,215.0,215.0
2023-03,2023-03-01,28,Garlic (Lehsun) 1 Kg,Garlic (Lehsun),,Vegetables,1 Kg,394.95,2023-03_Annexure1.pdf,453.22,454.93,353.97,355.24,339.92,355.8,352.62,376.26,423.54,372.57,299.5,371.29,388.49,427.17,400.0,476.15,600.0
2023-03,2023-03-01,29,Tea Lipton Yellow Label 190 gm PacketEach,Tea Lipton Yellow Label 190 gm Packet,,Beverages,Each,464.81,2023-03_Annexure1.pdf,495.41,495.41,466.45,495.41,526.16,495.41,466.45,558.82,495.41,439.2,413.53,413.52,466.46,466.46,413.52,413.53,413.52
2023-03,2023-03-01,30,Cooked Beef at Average Hotel Per Plate,Cooked Beef at Average Hotel,,Food Away from Home,Per Plate,234.65,2023-03_Annexure1.pdf,223.63,233.04,300.0,218.67,202.76,300.0,243.29,259.62,220.0,275.88,266.5,200.0,240.0,158.41,150.0,278.93,293.18
2023-03,2023-03-01,31,Cooked Daal at Average Hotel Per Plate,Cooked Daal at Average Hotel,,Food Away from Home,Per Plate,121.4,2023-03_Annexure1.pdf,165.41,160.81,100.0,100.0,113.24,140.0,120.0,117.59,112.92,139.05,137.79,100.0,112.92,102.55,100.0,129.74,139.76
2023-03,2023-03-01,32,Tea Prepared Ordinary Per Cup,Tea Prepared Ordinary,,Food Away from Home,Per Cup,47.13,2023-03_Annexure1.pdf,50.0,47.82,49.26,40.0,42.18,50.0,50.0,50.0,40.0,58.04,62.2,50.0,46.42,33.02,46.42,43.73,50.0
2023-03,2023-03-01,33,Cigarettes Capstan 20'S Packet Each,Cigarettes Capstan 20'S Packet,,Tobacco,Each,221.92,2023-03_Annexure1.pdf,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,231.0,220.0,220.0,220.0,225.5,230.0,220.0,226.62
2023-03,2023-03-01,34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr","Long Cloth 57"" Gul Ahmed/Al Karam",,Textiles & Apparel,1 mtr,489.72,2023-03_Annexure1.pdf,503.1,479.6,571.0,450.0,511.25,438.43,565.31,570.0,400.67,437.02,493.24,500.0,400.0,642.0,460.0,586.57,400.0
2023-03,2023-03-01,35,Shirting (Average Quality) 1 mtr,Shirting (Average Quality),,Textiles & Apparel,1 mtr,327.02,2023-03_Annexure1.pdf,507.04,475.46,300.0,353.91,305.03,450.0,303.17,300.0,373.93,372.22,301.11,215.44,282.31,427.71,400.0,200.78,200.0
2023-03,2023-03-01,36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,Lawn Printed Gul Ahmed/Al Karam,,Textiles & Apparel,1 mtr,496.5,2023-03_Annexure1.pdf,417.34,374.99,533.88,353.91,544.07,495.5,603.7,540.0,506.66,520.85,449.9,550.0,500.0,702.0,600.0,536.25,353.3
2023-03,2023-03-01,37,Georgette (Average Quality) 1 mtr,Georgette (Average Quality),,Textiles & Apparel,1 mtr,222.27,2023-03_Annexure1.pdf,303.47,292.12,200.0,283.89,286.28,171.23,313.19,188.63,175.68,269.3,194.51,206.46,250.0,189.84,160.0,187.57,200.0
2023-03,2023-03-01,38,Gents Sandal Bata Pair,Gents Sandal Bata,,Footwear,Pair,1499.0,2023-03_Annexure1.pdf,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0
2023-03,2023-03-01,39,Gents Sponge Chappal Bata Pair,Gents Sponge Chappal Bata,,Footwear,Pair,379.0,2023-03_Annexure1.pdf,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0
2023-03,2023-03-01,40,Ladies Sandal Bata Pair,Ladies Sandal Bata,,Footwear,Pair,699.0,2023-03_Annexure1.pdf,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0
2023-03,2023-03-01,41,Electricity Charges upto 50 Units Per Unit,Electricity Charges upto 50 Units,,Energy & Utilities,Per Unit,6.47,2023-03_Annexure1.pdf,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47
2023-03,2023-03-01,42,Gas Charges upto,Gas Charges upto 3.3719 MMBTU,,Energy & Utilities,MMBTU,295.0,2023-03_Annexure1.pdf,3.3719,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0
2023-03,2023-03-01,43,Firewood Whole 40 Kg,Firewood Whole,,Energy & Utilities,40 Kg,1091.64,2023-03_Annexure1.pdf,1643.17,1365.2,1232.45,1000.0,1336.09,1400.0,800.0,1208.19,1200.0,959.57,1000.0,700.0,816.33,1288.87,700.0,1449.43,1032.28
2023-03,2023-03-01,44,Energy Saver Philips 14 Watt Each,Energy Saver Philips 14 Watt,,Household Goods,Each,285.27,2023-03_Annexure1.pdf,256.62,241.54,400.0,400.0,210.0,350.0,343.3,400.0,200.0,280.0,261.66,212.13,280.0,240.0,250.0,350.0,300.0
2023-03,2023-03-01,45,Sufi Washing Soap 250 gm Cake Each,Sufi Washing Soap 250 gm Cake,,Personal & Household Care,Each,117.6,2023-03_Annexure1.pdf,127.94,127.4,120.0,110.0,120.98,121.48,120.0,115.0,130.0,113.35,113.9,116.84,108.75,122.98,125.0,110.0,100.0
2023-03,2023-03-01,46,Match Box Each,Match Box,,Household Goods,Each,5.06,2023-03_Annexure1.pdf,5.0,5.0,5.0,4.0,5.5,5.58,5.0,5.0,5.58,5.67,5.01,5.0,5.0,5.0,5.0,5.0,5.0
2023-03,2023-03-01,47,Petrol Super Per Litre,Petrol Super,,Fuel & Transport,Per Litre,270.91,2023-03_Annexure1.pdf,270.76,270.71,270.79,270.92,270.79,270.75,271.01,270.74,271.22,270.76,271.88,270.74,271.09,270.74,271.22,270.62,270.75
2023-03,2023-03-01,48,Hi-Speed Diesel Per Litre,Hi-Speed Diesel,,Fuel & Transport,Per Litre,288.62,2023-03_Annexure1.pdf,288.49,288.45,288.53,288.92,288.51,288.43,288.74,288.38,288.89,288.49,289.49,288.49,288.83,288.47,288.51,288.43,288.49
2023-03,2023-03-01,49,LPG,LPG 11.67 kg Cylinder,,Energy & Utilities,Each,3430.29,2023-03_Annexure1.pdf,11.67,3628.3,3646.94,3430.32,3500.22,3253.74,3239.82,3219.75,3292.25,3210.94,3289.83,3264.8,3383.44,3341.78,3501.0,3229.91,3654.3
2023-03,2023-03-01,50,Telephone Call Charges Per Minute,Telephone Call Charges,,Communication,Per Minute,1.79,2023-03_Annexure1.pdf,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
2023-03,2023-03-01,51,Toilet Soap LIFEBUOY 115 gm Each,Toilet Soap LIFEBUOY 115 gm,,Personal & Household Care,Each,89.74,2023-03_Annexure1.pdf,85.35,85.35,98.83,85.35,93.87,85.0,111.47,93.87,94.0,80.0,80.0,95.0,85.0,96.0,80.0,93.87,88.3
2023-04,2023-04-01,1,Wheat Flour Bag 20 Kg,Wheat Flour Bag,,Cereals & Grains,20 Kg,2658.97,2023-04_Annexure1.pdf,2945.03,2955.44,2663.46,2398.39,2316.0,2315.0,2774.99,2605.87,2470.12,2760.01,2786.64,2440.0,2472.13,2916.01,2890.44,2834.98,2812.42
2023-04,2023-04-01,2,Rice Basmati Broken (Average Quality)1 Kg,Rice Basmati Broken (Average Quality),,Cereals & Grains,1 Kg,193.59,2023-04_Annexure1.pdf,200.6,202.35,174.93,169.71,208.61,243.29,176.6,178.8,170.71,221.54,196.87,220.0,180.0,196.61,170.0,247.33,160.0
2023-04,2023-04-01,3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,Rice IRRI-6/9 (Sindh/Punjab),,Cereals & Grains,1 Kg,76.98,2023-04_Annexure1.pdf,131.36,118.27,81.87,140.0,206.49,147.72,169.9,143.72,174.93,102.41,136.58,161.52,160.0,139.85,136.58,140.27,135.21
2023-04,2023-04-01,4,Bread plain (Small Size) Each,Bread plain (Small Size),,Bakery & Confectionery,Each,102.64,2023-04_Annexure1.pdf,108.77,108.0,100.0,100.0,104.88,102.41,100.0,100.0,102.41,110.0,110.0,100.0,96.55,103.23,100.0,100.0,100.0
2023-04,2023-04-01,5,Beef with Bone (Average Quality) 1 Kg,Beef with Bone (Average Quality),,Meat & Poultry,1 Kg,732.87,2023-04_Annexure1.pdf,862.88,820.44,700.0,750.0,792.21,766.31,750.0,750.0,632.89,827.83,678.72,700.0,782.97,630.36,637.12,729.81,700.0
2023-04,2023-04-01,6,Mutton (Average Quality) 1 Kg,Mutton (Average Quality),,Meat & Poultry,1 Kg,1541.71,2023-04_Annexure1.pdf,1772.16,1722.7,1600.0,1650.0,1825.89,1557.04,1400.0,1699.75,1400.0,1658.23,1540.88,1400.0,1524.4,1361.43,1200.0,1649.49,1400.0
2023-04,2023-04-01,7,Chicken Farm Broiler (Live) 1 Kg,Chicken Farm Broiler (Live),,Meat & Poultry,1 Kg,390.1,2023-04_Annexure1.pdf,386.29,375.85,354.02,367.26,349.46,367.41,350.6,386.07,353.64,433.94,411.65,393.59,412.25,373.55,394.89,433.92,521.32
2023-04,2023-04-01,8,Milk fresh (Un-boiled) 1 Ltr,Milk fresh (Un-boiled),,Dairy & Eggs,1 Ltr,165.09,2023-04_Annexure1.pdf,196.56,190.58,160.0,140.0,142.12,150.0,126.58,149.14,124.07,208.45,166.31,169.85,206.46,193.71,149.78,200.0,170.0
2023-04,2023-04-01,9,Curd (Dahi) Loose 1 Kg,Curd (Dahi) Loose,,Dairy & Eggs,1 Kg,190.76,2023-04_Annexure1.pdf,212.5,206.73,180.0,150.0,168.56,170.0,160.0,171.04,152.33,301.6,240.0,179.86,220.0,205.32,160.0,220.0,200.0
2023-04,2023-04-01,10,Powdered Milk NIDO 390 gm PolybagEach,Powdered Milk NIDO 390 gm Polybag,,Dairy & Eggs,Each,683.19,2023-04_Annexure1.pdf,698.31,680.0,680.0,680.0,680.0,680.0,660.0,680.0,680.0,677.8,700.0,680.0,680.0,720.0,680.0,680.0,680.0
2023-04,2023-04-01,11,Eggs Hen (Farm) 1 Dozen,Eggs Hen (Farm),,Dairy & Eggs,1 Dozen,266.27,2023-04_Annexure1.pdf,272.46,270.1,269.97,267.46,267.45,262.46,267.45,265.19,263.74,279.27,262.38,267.46,260.75,264.93,264.09,267.34,254.95
2023-04,2023-04-01,12,Mustard Oil (Average Quality) 1 Kg,Mustard Oil (Average Quality),,Oils & Fats,1 Kg,580.49,2023-04_Annexure1.pdf,697.21,674.55,600.0,560.0,586.1,640.0,583.29,577.74,530.65,624.32,510.3,449.89,529.05,666.26,507.8,584.92,606.59
2023-04,2023-04-01,13,"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre TinEach","Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",,Oils & Fats,Each,3321.53,2023-04_Annexure1.pdf,3290.0,3290.0,3290.0,3290.0,3290.0,3290.0,3510.0,3510.0,3290.0,3290.0,3290.0,3250.0,3290.0,3290.0,3329.75,3290.0,3400.0
2023-04,2023-04-01,14,Vegetable Ghee DALDA/HABIB 2.5 kg TinEach,Vegetable Ghee DALDA/HABIB 2.5 kg Tin,,Oils & Fats,Each,1554.43,2023-04_Annexure1.pdf,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1635.0,1635.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1443.71,1550.0,1570.0
2023-04,2023-04-01,15,Vegetable Ghee DALDA/HABIB or Other superior Quality 1 kg PouchEach,Vegetable Ghee DALDA/HABIB or Other superior Quality 1 kg Pouch,,Oils & Fats,Each,604.04,2023-04_Annexure1.pdf,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,570.0,605.0,625.0
2023-04,2023-04-01,16,Bananas (Kela) Local 1 Dozen,Bananas (Kela) Local,,Fruits,1 Dozen,245.93,2023-04_Annexure1.pdf,417.25,373.69,235.8,230.0,234.36,250.33,239.75,312.59,300.0,194.52,204.69,200.0,175.38,270.34,319.35,177.19,184.8
2023-04,2023-04-01,17,Pulse Masoor (Washed) 1 Kg,Pulse Masoor (Washed),Pulse Masoor (Washed),Pulses & Legumes,1 Kg,279.43,2023-04_Annexure1.pdf,299.81,292.67,262.46,261.17,259.0,301.39,313.3,272.15,270.0,293.61,281.56,260.0,257.92,275.8,250.0,314.97,296.63
2023-04,2023-04-01,18,Pulse Moong (Washed) 1 Kg,Pulse Moong (Washed),Pulse Moong (Washed),Pulses & Legumes,1 Kg,280.94,2023-04_Annexure1.pdf,298.06,273.81,260.0,253.74,263.7,245.75,296.63,279.96,270.0,299.11,282.02,310.0,286.51,266.62,260.0,332.45,313.19
2023-04,2023-04-01,19,Pulse Mash (Washed) 1 Kg,Pulse Mash (Washed),Pulse Mash (Washed),Pulses & Legumes,1 Kg,428.08,2023-04_Annexure1.pdf,455.66,446.63,444.97,442.42,422.35,446.47,444.12,455.89,440.0,442.79,438.3,420.0,383.36,451.61,450.0,454.98,280.0
2023-04,2023-04-01,20,Pulse Gram 1 Kg,Pulse Gram,Pulse Gram,Pulses & Legumes,1 Kg,247.06,2023-04_Annexure1.pdf,274.97,257.4,220.0,220.0,236.58,225.74,226.62,251.05,240.0,264.66,238.62,260.0,240.0,263.58,231.6,289.93,273.29
2023-04,2023-04-01,21,Potatoes 1 Kg,Potatoes,Potatoes,Vegetables,1 Kg,67.93,2023-04_Annexure1.pdf,88.93,82.52,70.54,62.35,70.17,65.53,66.27,69.3,71.21,62.53,58.13,60.0,52.33,80.54,71.08,64.48,68.22
2023-04,2023-04-01,22,Onions 1 Kg,Onions,Onions,Vegetables,1 Kg,82.94,2023-04_Annexure1.pdf,116.48,111.29,80.63,76.24,81.37,71.74,78.83,64.99,77.39,85.77,79.81,69.64,63.15,97.74,81.4,92.83,101.52
2023-04,2023-04-01,23,Tomatoes 1 Kg,Tomatoes,Tomatoes,Vegetables,1 Kg,55.84,2023-04_Annexure1.pdf,90.41,87.46,77.03,68.45,68.36,58.01,57.97,44.96,45.15,58.02,47.68,27.83,32.27,72.72,58.56,52.15,46.42
2023-04,2023-04-01,24,Sugar Refined 1 Kg,Sugar Refined,,Sugar & Sweeteners,1 Kg,121.99,2023-04_Annexure1.pdf,127.2,126.54,122.23,122.47,123.15,121.59,118.98,118.0,120.0,127.01,120.1,117.1,117.47,124.8,117.47,127.99,122.66
2023-04,2023-04-01,25,Gur (Average Quality) 1 Kg,Gur (Average Quality),,Sugar & Sweeteners,1 Kg,156.81,2023-04_Annexure1.pdf,166.52,165.08,150.0,184.79,166.44,150.0,149.89,158.84,158.08,178.09,164.09,160.0,130.68,148.29,129.74,169.8,146.59
