Year_Month,Date,S_No,Commodity_Raw,Commodity,Target_Commodity,Category,Unit,National_Average_Price,Source_File,Islamabad,Rawalpindi,Gujranwala,Sialkot,Lahore,Faisalabad,Sargodha,Multan,Bahawalpur,Karachi,Hyderabad,Sukkur,Larkana,Peshawar,Bannu,Quetta,Khuzdar
2023-03,2023-03-01,17,Pulse Masoor (Washed) 1 Kg,Pulse Masoor (Washed),Pulse Masoor (Washed),Pulses & Legumes,1 Kg,279.9,2023-03_Annexure1.pdf,299.81,292.67,261.97,251.97,259.0,283.76,306.63,272.15,277.18,295.15,286.54,271.82,275.83,271.66,250.65,314.97,296.63
2023-03,2023-03-01,18,Pulse Moong (Washed) 1 Kg,Pulse Moong (Washed),Pulse Moong (Washed),Pulses & Legumes,1 Kg,282.91,2023-03_Annexure1.pdf,298.06,273.81,267.82,253.88,263.7,252.96,296.63,279.96,273.17,298.72,284.87,315.96,283.89,269.32,258.52,340.94,313.19
2023-03,2023-03-01,19,Pulse Mash (Washed) 1 Kg,Pulse Mash (Washed),Pulse Mash (Washed),Pulses & Legumes,1 Kg,419.23,2023-03_Annexure1.pdf,455.66,446.63,429.28,429.0,422.35,419.87,433.31,442.51,424.59,439.6,433.92,420.0,372.36,435.96,425.79,454.98,280.0
2023-03,2023-03-01,20,Pulse Gram 1 Kg,Pulse Gram,Pulse Gram,Pulses & Legumes,1 Kg,255.62,2023-03_Annexure1.pdf,281.98,261.87,223.95,223.95,246.76,243.95,240.0,263.48,258.43,277.89,251.33,260.0,243.9,264.42,236.62,307.9,273.29
2023-03,2023-03-01,21,Potatoes 1 Kg,Potatoes,Potatoes,Vegetables,1 Kg,52.48,2023-03_Annexure1.pdf,74.82,63.77,52.06,49.32,57.05,49.43,50.2,51.23,55.78,48.43,44.21,43.73,42.74,65.31,51.44,50.24,51.86
2023-03,2023-03-01,22,Onions 1 Kg,Onions,Onions,Vegetables,1 Kg,134.16,2023-03_Annexure1.pdf,180.53,163.56,134.29,137.41,139.46,124.54,121.66,131.36,134.02,122.59,117.02,102.87,116.94,151.58,138.18,143.5,140.57
2023-03,2023-03-01,23,Tomatoes 1 Kg,Tomatoes,Tomatoes,Vegetables,1 Kg,64.76,2023-03_Annexure1.pdf,99.42,86.33,84.21,74.17,76.13,74.47,67.6,65.91,74.16,45.54,38.0,52.1,48.05,76.77,60.23,55.7,55.29
2023-04,2023-04-01,17,Pulse Masoor (Washed) 1 Kg,Pulse Masoor (Washed),Pulse Masoor (Washed),Pulses & Legumes,1 Kg,279.43,2023-04_Annexure1.pdf,299.81,292.67,262.46,261.17,259.0,301.39,313.3,272.15,270.0,293.61,281.56,260.0,257.92,275.8,250.0,314.97,296.63
2023-04,2023-04-01,18,Pulse Moong (Washed) 1 Kg,Pulse Moong (Washed),Pulse Moong (Washed),Pulses & Legumes,1 Kg,280.94,2023-04_Annexure1.pdf,298.06,273.81,260.0,253.74,263.7,245.75,296.63,279.96,270.0,299.11,282.02,310.0,286.51,266.62,260.0,332.45,313.19
2023-04,2023-04-01,19,Pulse Mash (Washed) 1 Kg,Pulse Mash (Washed),Pulse Mash (Washed),Pulses & Legumes,1 Kg,428.08,2023-04_Annexure1.pdf,455.66,446.63,444.97,442.42,422.35,446.47,444.12,455.89,440.0,442.79,438.3,420.0,383.36,451.61,450.0,454.98,280.0
