# DUMMY PLACEHOLDER - Replace with actual downloaded PBS SPI/CPI data files
# Format: SPI Weekly / Monthly averages per city or national
date,city,commodity,unit,price_pkr,source
2021-07-01,National Average,Tomatoes,Kg,45.50,PBS_SPI
2021-07-01,National Average,Onion,Kg,38.20,PBS_SPI
2021-07-01,National Average,Potato,Kg,52.00,PBS_SPI
2021-07-01,National Average,Daal Moong,Kg,220.00,PBS_SPI
2021-07-01,National Average,Daal Masar,Kg,160.00,PBS_SPI
2021-07-01,National Average,Daal Masoor,Kg,175.00,PBS_SPI
2021-07-01,National Average,Daal Mash,Kg,250.00,PBS_SPI
2021-08-01,National Average,Tomatoes,Kg,60.10,PBS_SPI
2021-08-01,National Average,Onion,Kg,42.50,PBS_SPI
2021-08-01,National Average,Potato,Kg,50.00,PBS_SPI
2021-08-01,National Average,Daal Moong,Kg,225.00,PBS_SPI
2021-08-01,National Average,Daal Masar,Kg,165.00,PBS_SPI
2021-08-01,National Average,Daal Masoor,Kg,180.00,PBS_SPI
2021-08-01,National Average,Daal Mash,Kg,255.00,PBS_SPI
